OMBControlNumber,ICRReferenceNumber,REQUEST_TYPE_ABBR,ParentAgencyCode,ParentAgencyAcronym,ParentAgencyName,AgencyCode,AgencyAcronym,AgencyName,ICRTitle,ICTitle,CommonFormFlag,ConcludedDate,ExpirationDate,Abstract,documentType,OtherType,FormNumber,FormName,OriginalFileName,URL,AvailableElectronically,CanSubmittedElectronically,ElectronicCapability,LineOfBusiness,Subfunction,PublicCode
1615-0001,201202-1615-002,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Petition for Alien Fiance(e),Petition for Alien Fiance(e),No,6/22/12,6/30/13,"To date, through the filing of this form a U.S. citizen may facilitate the entry of his/her spouse or fiance(e) into the United States so that a marriage may be concluded within 90 days of entry between the U.S. citizen and the beneficiary of the petition.  This form must be used to cover the provisions of section 1103 of the Legal Immigration Family Equity Act of 2000 which allows the spouse or child of a U.S. citizen to enter the U.S. as a nonimmigrant.  The I-129F is the only existing form which collects the requisite information so that an adjudicator can make the appropriate decisions.",Instruction, , , ,I-129F Inst  for Web Version update 8-2-2011.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0003,201011-1615-001,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application to Extend/Change Nonimmigrant Status,Application to Extend/Change Nonimmigrant Status,No,1/12/11,8/31/12,"This form is used by a nonimmigrant to apply for an extension of stay or change of nonimmigrant status.  Additionally, the data will be used by USCIS to determine eligibility for the requested immigration benefit.       ",Form, ,Form I-539,Application to Extend/Change Nonimmigrant Status,i-539 110210.pdf,www.uscis.gov,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0003,201011-1615-001,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application to Extend/Change Nonimmigrant Status,Application to Extend/Change Nonimmigrant Status,No,1/12/11,8/31/12,"This form is used by a nonimmigrant to apply for an extension of stay or change of nonimmigrant status.  Additionally, the data will be used by USCIS to determine eligibility for the requested immigration benefit.       ",Instruction, , , ,I-539 instr 110210.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0004,201108-1615-004,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Supplement A to Form I-539 (Filing Instructions for V Nonimmigrant Status),Supplement A to Form I-539 (Filing Instructions for V Nonimmigrant Status),No,12/11/11,12/31/14,"This form is needed to accompany the I-539 in order to explain and provide instructions for the V nonimmigrant classification. This form will be used by nonimmigrants to apply for an extension of stay, a change to another nonimmigrant classification, or for obtaining V nonimmigrant classification.      ",Instruction, , , ,I-539 Supp A (updated 12-02-11).pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0005,201111-1615-001,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Benefits Under the Family Unity Program,Application for Benefits Under the Family Unity Program,No,2/28/12,2/28/13,"The information collected will be used to determine whether the applicant meets the eligibility requirements for benefits under 8 CFR 245A, Subpart C.   If the applicant fully demonstrates eligibility, the application will be approved, and USCIS will issue an employment authorization document and approval notice to the applicant.     ",Form, ,I-817,Application for Family Unity Benefits,i-817 form.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0005,201111-1615-001,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Benefits Under the Family Unity Program,Application for Benefits Under the Family Unity Program,No,2/28/12,2/28/13,"The information collected will be used to determine whether the applicant meets the eligibility requirements for benefits under 8 CFR 245A, Subpart C.   If the applicant fully demonstrates eligibility, the application will be approved, and USCIS will issue an employment authorization document and approval notice to the applicant.     ",Instruction, , , ,i-817instr.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0007,201107-1615-010,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Alien Change of Address Card,Alien's Change of Address Card,No,12/11/11,12/31/14,"Section 265 of the Immigration and Nationality Act (INA) requires aliens in the United States to inform USCIS whenever there is a change in their address.  Form AR-11 is used to inform USCIS whenever there is a change of address.  AR-11SR is used by nonimmigrants subject to the ""Special Registration"" requirements to report changes of address, employer, or school to USCIS.      ",Form and Instruction, ,AR-11,Alien's Change of Address Card,AR-11 Rev 10-27-2011.pdf,uscis.gov,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0007,201107-1615-010,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Alien Change of Address Card,Alien's Change of Address Card,No,12/11/11,12/31/14,"Section 265 of the Immigration and Nationality Act (INA) requires aliens in the United States to inform USCIS whenever there is a change in their address.  Form AR-11 is used to inform USCIS whenever there is a change of address.  AR-11SR is used by nonimmigrants subject to the ""Special Registration"" requirements to report changes of address, employer, or school to USCIS.      ",Form and Instruction, ,AR-11 SR,Alien's Change of Address Card,AR-11_SR Revised 10-27-2011.pdf,uscis.gov,Yes,No,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0008,201105-1615-005,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Biographic Information,Biographic Information,No,8/8/11,8/31/12,"This form is used when it is necessary to check other agency records (FBI, CIA, etc.) on applications or petitions submitted by applicants for benefits under the I&NA.  Additionally, the form is required from applicants for adjustment to permanent resident status and specific applicants for naturalization.      ",Form and Instruction, ,G-325,Biographic Information,G-325 form & instr.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0008,201105-1615-005,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Biographic Information,Biographic Information,No,8/8/11,8/31/12,"This form is used when it is necessary to check other agency records (FBI, CIA, etc.) on applications or petitions submitted by applicants for benefits under the I&NA.  Additionally, the form is required from applicants for adjustment to permanent resident status and specific applicants for naturalization.      ",Form and Instruction, ,G-325A,Biographic Information,G-325A form and instr.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0008,201105-1615-005,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Biographic Information,Biographic Information,No,8/8/11,8/31/12,"This form is used when it is necessary to check other agency records (FBI, CIA, etc.) on applications or petitions submitted by applicants for benefits under the I&NA.  Additionally, the form is required from applicants for adjustment to permanent resident status and specific applicants for naturalization.      ",Form and Instruction, ,G-325B,Biograhic Information,G-325B form & instr.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0008,201105-1615-005,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Biographic Information,Biographic Information,No,8/8/11,8/31/12,"This form is used when it is necessary to check other agency records (FBI, CIA, etc.) on applications or petitions submitted by applicants for benefits under the I&NA.  Additionally, the form is required from applicants for adjustment to permanent resident status and specific applicants for naturalization.      ",Form and Instruction, ,G-325C,Biographic Information,G-325C form & instr.pdf, ,Yes,No,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0009,201010-1615-010,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Petition for Nonimmigrant Worker,Petition for Nonimmigrant Worker,No,11/1/10,10/31/13,"This form is necessary for an employer to petition for an alien to come to the U.S. temporarily to perform services or labor, or to receive training, in the following categories: H-1B, H-1C, H-2A, H-2B, H-3, L-1, O-1, O-2, P-1, P-2, P-3, Q-1, or R-1 nonimmigrant worker. 
This form is also necessary for an employer to petition for an extension of stay or change of status for an alien as an E-1, E-2, E-3, or TN nonimmigrant.  A petition is not required to apply for an E-1 or E-2 nonimmigrant visa or admission as a TN nonimmigrant.  A petition is only required to apply for a change to one of these classifications.   
",Form, ,Form I-129,Petition for Nonimmigrant Worker,I-129 form 102610.pdf, ,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,Private Sector
1615-0009,201010-1615-010,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Petition for Nonimmigrant Worker,Petition for Nonimmigrant Worker,No,11/1/10,10/31/13,"This form is necessary for an employer to petition for an alien to come to the U.S. temporarily to perform services or labor, or to receive training, in the following categories: H-1B, H-1C, H-2A, H-2B, H-3, L-1, O-1, O-2, P-1, P-2, P-3, Q-1, or R-1 nonimmigrant worker. 
This form is also necessary for an employer to petition for an extension of stay or change of status for an alien as an E-1, E-2, E-3, or TN nonimmigrant.  A petition is not required to apply for an E-1 or E-2 nonimmigrant visa or admission as a TN nonimmigrant.  A petition is only required to apply for a change to one of these classifications.   
",Instruction, , , ,I-129instr 102610.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Private Sector
1615-0010,201111-1615-006,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Nonimmigrant Petition Based on Blanket L. Petition,Nonimmigrant Petition Based on Blanket L Petition,No,3/30/12,3/31/13,The form is used by an employer to petition for temporary workers as L-1 nonimmigrant intra-company transfers under a blanket L petition approval.        ,Form, ,I-129S,Nonimmigrant Petition Based on Blanket L Petition,i-129s.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Private Sector
1615-0010,201111-1615-006,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Nonimmigrant Petition Based on Blanket L. Petition,Nonimmigrant Petition Based on Blanket L Petition,No,3/30/12,3/31/13,The form is used by an employer to petition for temporary workers as L-1 nonimmigrant intra-company transfers under a blanket L petition approval.        ,Instruction, , , ,i-129sinstr.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Private Sector
1615-0012,201111-1615-005,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Petition for Alien Relative,Petition for Alien Relative,No,1/8/12,8/31/12,The information collected on this form will be used to determine eligibility for benefits sought for relatives of United States citizens and lawful permanent residents.        ,Form, ,I-130,Petition for Alien Relative,I-130 Form 83c 10-13-2011.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0012,201111-1615-005,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Petition for Alien Relative,Petition for Alien Relative,No,1/8/12,8/31/12,The information collected on this form will be used to determine eligibility for benefits sought for relatives of United States citizens and lawful permanent residents.        ,Instruction, , , ,I-130 83C Revisions 10-13-2011.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0013,201110-1615-002,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Travel Document,Application for Travel Document,No,11/1/11,8/31/12,"This application is used by permanent residents or conditional residents, refugees or asylees, and aliens aboard seeking to apply for a travel document to lawfully reenter the United States or to be paroled for humanitarian purposes into the United States.      ",Form, ,I-131,Application for Travel Document,I-131 Form 83C Biometrics Fee 9-16-2011.pdf,uscis.gov,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0013,201110-1615-002,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Travel Document,Application for Travel Document,No,11/1/11,8/31/12,"This application is used by permanent residents or conditional residents, refugees or asylees, and aliens aboard seeking to apply for a travel document to lawfully reenter the United States or to be paroled for humanitarian purposes into the United States.      ",Instruction, , , ,I-131 instr 83C Biometrics Fee 9-16-2011.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0014,201103-1615-007,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Affidavit of Support,Affidavit of Support,No,5/25/11,8/31/12,"U.S. Citizenship and Immigration Services (USCIS) uses this form to determine whether an applicant for a visa, adjustment of status, or entry to the United States may possibly be excludable on the ground that he or she is likely to become a public charge.",Form, ,I-134,Affidavit of Support,i-134form.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0014,201103-1615-007,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Affidavit of Support,Affidavit of Support,No,5/25/11,8/31/12,"U.S. Citizenship and Immigration Services (USCIS) uses this form to determine whether an applicant for a visa, adjustment of status, or entry to the United States may possibly be excludable on the ground that he or she is likely to become a public charge.",Instruction, , , ,i-134instr.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0015,201203-1615-009,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Immigrant Petition for Alien Workers,Immigrant Petition for Alien Workers,No,5/10/12,1/31/13,"The information collected on this form will be used by USCIS to determine eligibility for the requested immigration benefits under section 203(b)(1), 203(b)(2), or 203(b)(3) of the Immigration and Nationality Act.       ",Form, ,Form I-140,Immigrant Petition for Alien Worker,I140-FRM-83C-03022012.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0015,201203-1615-009,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Immigrant Petition for Alien Workers,Immigrant Petition for Alien Workers,No,5/10/12,1/31/13,"The information collected on this form will be used by USCIS to determine eligibility for the requested immigration benefits under section 203(b)(1), 203(b)(2), or 203(b)(3) of the Immigration and Nationality Act.       ",Instruction, , , ,I140-INS-83C-03042012.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0016,201102-1615-003,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Advance Permission to Return to Unrelinquished Domicile,Application for Advance Permission to Return to Unrelinquished Domicile,No,4/8/11,6/30/13,The information collected on this form is used by U.S. Citizenship and Immigration Services (USCIS) to determine whether the applicant is eligible for a discretionary relief under section 212(c) of the Immigration and Nationality Act (Act).       ,Form, ,Form I-191,Application for Advance Permission to Return to Unrelinquished Domicile,i-191_02-17-2011.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0016,201102-1615-003,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Advance Permission to Return to Unrelinquished Domicile,Application for Advance Permission to Return to Unrelinquished Domicile,No,4/8/11,6/30/13,The information collected on this form is used by U.S. Citizenship and Immigration Services (USCIS) to determine whether the applicant is eligible for a discretionary relief under section 212(c) of the Immigration and Nationality Act (Act).       ,Instruction, , , ,i-191instr_02-17-2011.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0017,201111-1615-003,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Advance Permission to Enter as Nonimmigrant (Pursuant to 212(d)(3) of the Immigration and Nationality Act),Application for Advance Permission to Enter as Nonimmigrant (Pursuant to 212(d)(3) of the Immigration and Nationality Act),No,3/9/12,3/31/13,"This form is provided by the U.S. Citizenship and Immigration Services (USCIS) as a means for certain inadmissible nonimmigrant aliens to apply for permission to enter the United States. This form is also used by U.S. Customs and Border Protection (USCBP), to grant temporary permission to certain inadmissible non-immigrants who wish to enter the United States through a port-of-entry pursuant to section 212(d)(3) of the INA.  USCIS, also uses this form to address inadmissibility issues for T (Victims of Severe Forms of Trafficking in Persons) and U (Victims of Criminal Activity) petitioners. This is in accordance with 8 CFR 212.16, 8 CFR 212.17 and 8 CFR 214.14. ",Form, ,I-192,Application for Advance Permission to Enter as Nonimmigrant (Pursuant to 212(d)(3) of the Immigration and Nationality Act),i-192 form.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0017,201111-1615-003,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Advance Permission to Enter as Nonimmigrant (Pursuant to 212(d)(3) of the Immigration and Nationality Act),Application for Advance Permission to Enter as Nonimmigrant (Pursuant to 212(d)(3) of the Immigration and Nationality Act),No,3/9/12,3/31/13,"This form is provided by the U.S. Citizenship and Immigration Services (USCIS) as a means for certain inadmissible nonimmigrant aliens to apply for permission to enter the United States. This form is also used by U.S. Customs and Border Protection (USCBP), to grant temporary permission to certain inadmissible non-immigrants who wish to enter the United States through a port-of-entry pursuant to section 212(d)(3) of the INA.  USCIS, also uses this form to address inadmissibility issues for T (Victims of Severe Forms of Trafficking in Persons) and U (Victims of Criminal Activity) petitioners. This is in accordance with 8 CFR 212.16, 8 CFR 212.17 and 8 CFR 214.14. ",Instruction, , , ,i-192instr.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0018,201112-1615-004,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Permission to Reapply for Admission into the United States after Deportation or Removal,Application for Permission to Reapply for Admission into the United States after Deportation or Removal,No,2/5/12,9/30/12,"The Department of Homeland Security needs this information to adjudicate applications filed by aliens requesting consent to reapply for admission to the U.S. after deportation, removal or departure, as provided for under section 212 of the Immigration and Nationality Act.      ",Form, ,Form I-212,Application for Permission to Reapply for Admission into the United States after Deportation or Removal,I-212 Form 9-11-11.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0018,201112-1615-004,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Permission to Reapply for Admission into the United States after Deportation or Removal,Application for Permission to Reapply for Admission into the United States after Deportation or Removal,No,2/5/12,9/30/12,"The Department of Homeland Security needs this information to adjudicate applications filed by aliens requesting consent to reapply for admission to the U.S. after deportation, removal or departure, as provided for under section 212 of the Immigration and Nationality Act.      ",Instruction, , , ,I-212 Instr 83C 12-8-11.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0019,201010-1615-001,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Removal,Application for Removal,No,12/20/10,12/31/12,The information provided on this form allows USCIS to determine eligibility for the alien's request for removal from the United States.        ,Form and Instruction, ,I-243,Application for Removal,i-243form.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0020,201011-1615-003,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,"Petition for Amerasian, Widow or Special Immigrant","Petition for Amerasian, Widow or Special Immigrant",No,1/18/11,1/31/13,The Form I-360 may be used by several prospective classes of aliens who intend to establish their eligibility to immigrate to the United States.  The information collected on this form is reviewed by the U.S. Citizenship and Immigration Services (USCIS) to determine if the petitioner may be qualified to obtain the benefit.     ,Form, ,Form I-360,"Petition for Amerasian, Widow or Special Immigrant",I-360 Form 112310.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0020,201011-1615-003,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,"Petition for Amerasian, Widow or Special Immigrant","Petition for Amerasian, Widow or Special Immigrant",No,1/18/11,1/31/13,The Form I-360 may be used by several prospective classes of aliens who intend to establish their eligibility to immigrate to the United States.  The information collected on this form is reviewed by the U.S. Citizenship and Immigration Services (USCIS) to determine if the petitioner may be qualified to obtain the benefit.     ,Instruction, , , ,I-360 Inst_FR2010_112310.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0021,200811-1615-003,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Affadivit of Financial Support and Intent to Petition for Legal Custody for Public Law 97-359 Amerasian,Affadivit of Financial Support and Intent to Petition for Legal Custody for Public Law 97-359 Amerasian,No,4/24/09,8/31/12,This form will be used in support of Form I-360 to assure fiancial support for Pub. L. 97-359 Amerasian.  The affidavit is used only to sponsor individuals eligible for immigration under Pub. L. 97-359       ,Form and Instruction, ,Form I-361,Affadivit of Financial Support and Intent to Petition for Legal Custody for Public Law 97-359 Amerasian,Form I-361.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
