OMBControlNumber,ICRReferenceNumber,REQUEST_TYPE_ABBR,ParentAgencyCode,ParentAgencyAcronym,ParentAgencyName,AgencyCode,AgencyAcronym,AgencyName,ICTitle,CommonFormFlag,ConcludedDate,ExpirationDate,documentType,OtherType,FormNumber,FormName,OriginalFileName,URL,AvailableElectronically,CanSubmittedElectronically,ElectronicCapability,LineOfBusiness,Subfunction,PublicCode
1615-0008,201105-1615-005,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Biographic Information,No,8/8/11,8/31/12,Form and Instruction, ,G-325A,Biographic Information,G-325A form and instr.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0008,201105-1615-005,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Biographic Information,No,8/8/11,8/31/12,Form and Instruction, ,G-325B,Biograhic Information,G-325B form & instr.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0008,201105-1615-005,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Biographic Information,No,8/8/11,8/31/12,Form and Instruction, ,G-325C,Biographic Information,G-325C form & instr.pdf, ,Yes,No,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0009,201010-1615-010,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Petition for Nonimmigrant Worker,No,11/1/10,10/31/13,Form, ,Form I-129,Petition for Nonimmigrant Worker,I-129 form 102610.pdf, ,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,Private Sector
1615-0009,201010-1615-010,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Petition for Nonimmigrant Worker,No,11/1/10,10/31/13,Instruction, , , ,I-129instr 102610.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Private Sector
1615-0010,201111-1615-006,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Nonimmigrant Petition Based on Blanket L Petition,No,3/30/12,3/31/13,Form, ,I-129S,Nonimmigrant Petition Based on Blanket L Petition,i-129s.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Private Sector
1615-0010,201111-1615-006,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Nonimmigrant Petition Based on Blanket L Petition,No,3/30/12,3/31/13,Instruction, , , ,i-129sinstr.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Private Sector
1615-0012,201111-1615-005,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Petition for Alien Relative,No,1/8/12,8/31/12,Form, ,I-130,Petition for Alien Relative,I-130 Form 83c 10-13-2011.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0012,201111-1615-005,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Petition for Alien Relative,No,1/8/12,8/31/12,Instruction, , , ,I-130 83C Revisions 10-13-2011.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0013,201110-1615-002,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Travel Document,No,11/1/11,8/31/12,Form, ,I-131,Application for Travel Document,I-131 Form 83C Biometrics Fee 9-16-2011.pdf,uscis.gov,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0013,201110-1615-002,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Travel Document,No,11/1/11,8/31/12,Instruction, , , ,I-131 instr 83C Biometrics Fee 9-16-2011.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0014,201103-1615-007,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Affidavit of Support,No,5/25/11,8/31/12,Form, ,I-134,Affidavit of Support,i-134form.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0014,201103-1615-007,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Affidavit of Support,No,5/25/11,8/31/12,Instruction, , , ,i-134instr.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0015,201203-1615-009,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Immigrant Petition for Alien Workers,No,5/10/12,1/31/13,Form, ,Form I-140,Immigrant Petition for Alien Worker,I140-FRM-83C-03022012.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0015,201203-1615-009,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Immigrant Petition for Alien Workers,No,5/10/12,1/31/13,Instruction, , , ,I140-INS-83C-03042012.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0016,201102-1615-003,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Advance Permission to Return to Unrelinquished Domicile,No,4/8/11,6/30/13,Form, ,Form I-191,Application for Advance Permission to Return to Unrelinquished Domicile,i-191_02-17-2011.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0016,201102-1615-003,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Advance Permission to Return to Unrelinquished Domicile,No,4/8/11,6/30/13,Instruction, , , ,i-191instr_02-17-2011.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0017,201111-1615-003,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Advance Permission to Enter as Nonimmigrant (Pursuant to 212(d)(3) of the Immigration and Nationality Act),No,3/9/12,3/31/13,Form, ,I-192,Application for Advance Permission to Enter as Nonimmigrant (Pursuant to 212(d)(3) of the Immigration and Nationality Act),i-192 form.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0017,201111-1615-003,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Advance Permission to Enter as Nonimmigrant (Pursuant to 212(d)(3) of the Immigration and Nationality Act),No,3/9/12,3/31/13,Instruction, , , ,i-192instr.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0018,201112-1615-004,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Permission to Reapply for Admission into the United States after Deportation or Removal,No,2/5/12,9/30/12,Form, ,Form I-212,Application for Permission to Reapply for Admission into the United States after Deportation or Removal,I-212 Form 9-11-11.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0018,201112-1615-004,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Permission to Reapply for Admission into the United States after Deportation or Removal,No,2/5/12,9/30/12,Instruction, , , ,I-212 Instr 83C 12-8-11.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0019,201010-1615-001,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Removal,No,12/20/10,12/31/12,Form and Instruction, ,I-243,Application for Removal,i-243form.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0020,201011-1615-003,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,"Petition for Amerasian, Widow or Special Immigrant",No,1/18/11,1/31/13,Form, ,Form I-360,"Petition for Amerasian, Widow or Special Immigrant",I-360 Form 112310.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0020,201011-1615-003,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,"Petition for Amerasian, Widow or Special Immigrant",No,1/18/11,1/31/13,Instruction, , , ,I-360 Inst_FR2010_112310.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0021,200811-1615-003,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Affadivit of Financial Support and Intent to Petition for Legal Custody for Public Law 97-359 Amerasian,No,4/24/09,8/31/12,Form and Instruction, ,Form I-361,Affadivit of Financial Support and Intent to Petition for Legal Custody for Public Law 97-359 Amerasian,Form I-361.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0022,201107-1615-006,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Request to Enforce Affidavit of Financial Support and Intent to Petition for Custody for Pub. L. 97-359 Amerasian,No,9/15/11,9/30/12,Form, ,I-363,Request to Enforce Affidavit of Financial Support and Intent to Petition for Custody for P. L. 97-359 Amerasian,i-363.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0022,201107-1615-006,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Request to Enforce Affidavit of Financial Support and Intent to Petition for Custody for Pub. L. 97-359 Amerasian,No,9/15/11,9/30/12,Instruction, , , ,i-363instr.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0023,201011-1615-002,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application to Register Permanent Residence or Adjust Status,No,1/18/11,1/31/13,Form, ,Form I-485,Application to Register Permanent Residence or Adjust Status,Final I-485 form_FR2010_112310.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0023,201011-1615-002,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application to Register Permanent Residence or Adjust Status,No,1/18/11,1/31/13,Form, ,I-485 Supplement A,Adjustment of Status Under Section 245(i),Form I-485 Supp A.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0023,201011-1615-002,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application to Register Permanent Residence or Adjust Status,No,1/18/11,1/31/13,Instruction, , , ,I-485_Inst_FR2010_11-19-10.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0023,201011-1615-002,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application to Register Permanent Residence or Adjust Status,No,1/18/11,1/31/13,Instruction, , , ,Form I-485 Supp E.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0023,201011-1615-002,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application to Register Permanent Residence or Adjust Status,No,1/18/11,1/31/13,Instruction, , , ,Form I-485 Supp A Instructions.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0024,201106-1615-007,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,HRIFA Supplement to Form I-485 Instructions,No,9/15/11,9/30/12,Instruction, , , ,I-485 Supplement C - Instructions.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0025,201108-1615-009,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,"Waiver of Rights, Privileges, Exemptions and Immunities",No,1/12/12,1/31/15,Form and Instruction, ,I-508,"Waiver of Rights, Privileges, Exemptions and Immunities",I-508 Revised 05-31-2011_updated 12-12-11.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0025,201108-1615-009,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,"Waiver of Rights, Privileges, Exemptions and Immunities",No,1/12/12,1/31/15,Form, ,I-508F,"Waiver of Rights, Privileges, Exemptions and Immunities",i-508f.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0026,201201-1615-002,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Immigrant Petition by Alien Entrepreneur,No,5/10/12,5/31/13,Form, ,I-526,Immigrant Petition by Alien Entrepreneur,i-526.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0026,201201-1615-002,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Immigrant Petition by Alien Entrepreneur,No,5/10/12,5/31/13,Instruction, , , ,i-526instr.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0027,201112-1615-007,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,"Inter-Agency Record of Individual Requesting Change/Adjustment to or From A or G Status; or Requesting A, G. or NATO Dependent Employment Authorization",No,3/9/12,3/31/13,Form, ,I-566,"Inter-Agency Record of Individual Requesting Change/Adjustment to or From A or G Status; or Requesting A, G. or NATO Dependent Employment Authorization",I566-FRM-OMBReview-01102012.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0027,201112-1615-007,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,"Inter-Agency Record of Individual Requesting Change/Adjustment to or From A or G Status; or Requesting A, G. or NATO Dependent Employment Authorization",No,3/9/12,3/31/13,Instruction, , , ,I566-INS-OMBReview-01102012.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0028,201010-1615-008,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Petition to Classify Orphan as an Immediate Relative and Application for Advance Processing of Orphan Petition,No,1/12/11,1/31/13,Form, ,I-600,Petition to Classify Orphan as an Immediate Relative,I-600 Form FR2010.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0028,201010-1615-008,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Petition to Classify Orphan as an Immediate Relative and Application for Advance Processing of Orphan Petition,No,1/12/11,1/31/13,Form, ,I-600A,Application for Advance Processing of Orphan Petition,I-600A Form R2010.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0028,201010-1615-008,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Petition to Classify Orphan as an Immediate Relative and Application for Advance Processing of Orphan Petition,No,1/12/11,1/31/13,Instruction, , , ,I-600A Inst_ FR2010_082510.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0028,201010-1615-008,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Petition to Classify Orphan as an Immediate Relative and Application for Advance Processing of Orphan Petition,No,1/12/11,1/31/13,Instruction, , , ,I-600 Inst_ FR2010_082510.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0029,201112-1615-002,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Waiver of Grounds of Inadmissibility,No,2/5/12,8/31/12,Form, ,I-601,Application for Waiver Of Grounds of Inadmissibility,i-601 (11-17-11).pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0029,201112-1615-002,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Waiver of Grounds of Inadmissibility,No,2/5/12,8/31/12,Instruction, , , ,I-601instr (09-29-11)_updated 11-17-11.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0030,201008-1615-044,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Waiver of the Foreign Residence Requirement of Section 212(e) of the Immigration and Nationality Act,No,9/29/10,8/31/12,Form, ,Form I-612,Application for Waiver of the Foreign Residence Requirement of Section 212(e) of the Immigration and Nationality Act,I-612 Form FR2010.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0030,201008-1615-044,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Waiver of the Foreign Residence Requirement of Section 212(e) of the Immigration and Nationality Act,No,9/29/10,8/31/12,Instruction, , , ,I-612 Inst FR2010.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0032,201008-1615-020,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Waiver of Grounds of Inadmissibility,No,9/29/10,8/31/12,Form, ,Form I-690,Application for Waiver of Grounds of Inadmissibility,I-690 Form_FR2010.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0032,201008-1615-020,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Waiver of Grounds of Inadmissibility,No,9/29/10,8/31/12,Instruction, , , ,I-690 Inst FR2010.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0033,201107-1615-005,ICR Rev,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Report of Medical Examination and Vaccination Record,No,10/11/11,10/31/12,Form, ,I-693,Report of Medical Examination and Vaccination Record,I-693 Form 4-27-11.pdf, ,Yes,No,Fillable Printable,Health,Public Health Monitoring,Individuals or Households
1615-0033,201107-1615-005,ICR Rev,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Report of Medical Examination and Vaccination Record,No,10/11/11,10/31/12,Instruction, , , ,I-693 Instructions 4-27-11.pdf, ,Yes,No,Printable Only,Health,Public Health Monitoring,Individuals or Households
1615-0034,201107-1615-007,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Notice of Appeal of Decision Under Section 210 or 245A of the Immigration and Nationality Act,No,9/23/11,9/30/12,Form, ,I-694,Notice of Appeal of Decision Under Section 210 or 245A,i-694.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0034,201107-1615-007,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Notice of Appeal of Decision Under Section 210 or 245A of the Immigration and Nationality Act,No,9/23/11,9/30/12,Instruction, , , ,i-694instr.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0035,201010-1615-003,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application to Adjust Status from Temporary to Permanent Resident,No,1/12/11,1/31/13,Form, ,I-698,Application to Adjust Status from Temporary to Permanent Resident,I-698 Form.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0035,201010-1615-003,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application to Adjust Status from Temporary to Permanent Resident,No,1/12/11,1/31/13,Instruction, , , ,I-698 Instructions.pdf, ,Yes,No,Paper Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0037,201006-1615-002,ICR Rev,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Refugee/Asylee Relative Petition,No,10/28/10,10/31/12,Form, ,Form I-730,Refugee/Asylee Relative Petition,i-730 Form Rev 5-19-10.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0037,201006-1615-002,ICR Rev,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Refugee/Asylee Relative Petition,No,10/28/10,10/31/12,Instruction, , , ,i-730 Inst 5-19-10.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0038,201010-1615-004,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Petition to Remove the Conditions on Residence,No,1/12/11,1/31/13,Form, ,I-751,Petition to Remove Conditions on Residence,i-751form.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0038,201010-1615-004,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Petition to Remove the Conditions on Residence,No,1/12/11,1/31/13,Instruction, , , ,i-751instr.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0040,201208-1615-002,ICR Rev,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Employment Authorization,No,8/14/12,2/28/13,Form, ,I-765,Application for Employment Authorization,I765-FRM-OMBReview-08082012(Final).pdf, ,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0040,201208-1615-002,ICR Rev,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Work Sheet,No,8/14/12,2/28/13,Form, ,I-765WS,Work Sheet,I765WS-WRK-OMBReview-08082012(Final).pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0040,201208-1615-002,ICR Rev,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Employment Authorization,No,8/14/12,2/28/13,Instruction, , , ,I765-INS-OMBReview-08082012(Final).pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0042,201109-1615-003,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Issuance or Replacement of Northern Mariana Card,No,4/26/12,4/30/14,Form, ,I-777,Application for Issuance or Replacement of Northern Mariana Card,i-777.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0042,201109-1615-003,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Issuance or Replacement of Northern Mariana Card,No,4/26/12,4/30/14,Instruction, , , ,i-777instr.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0043,201007-1615-004,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Temporary Protected Status,No,10/26/10,10/31/13,Form, ,Form I-821,Application for Temporary Protected Status,I-821 Form FR2010.pdf, ,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0043,201007-1615-004,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Temporary Protected Status,No,10/26/10,10/31/13,Instruction, , , ,I-821 Inst FR2010_08312010.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
